Geno	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32
93-968	0.0172497567818824	0.0129799568811495	0.00507536272678674	-0.00120567059072954	-0.0239282024673856	0.0256799521121241	0.000114535067216054	0.0477901341218393	-0.020291854966392	-0.0115194118306495	-0.00570852489335366	0.0179051864654287	0.00131384663509621	0.00381299501435575	-0.0117577548159383	0.0240980741416156	-0.0347109976491678	-0.0386024824891668	-0.0300766932730421	0.0226762055778672	-0.0733143595842965	0.0151737084468661	0.036747286937478	0.0364222984125969	0.0113422728623897	-0.0109577030302458	-0.0186903037234615	0.0224566097468014	-0.0235456525574271	0.0121845427196081	0.00114238532102667	-0.027664872286027
BESC-1	-0.00131302328671445	-0.0507578046919559	0.0325116082835837	0.0213423982331092	-0.0136305279448219	0.00360163194583557	0.0133256862429883	-0.00854221967503688	0.00476356933326878	-0.0182292014727006	-0.0187163901399817	-0.0189607437739779	-0.000913376018158229	-0.00736983124160034	0.0069816313968378	-0.0155618030779334	0.0229401068538344	0.032927686981455	0.0158366706729303	-0.0277903191922375	0.0566214267578017	-0.000135322673901789	-0.0215826022229141	-0.0129615651800748	-0.0243903663450355	0.0193051083380799	0.00575917435086506	-0.0105343407089554	-0.00177507638796501	-0.00696629872418583	-0.0013117836025673	0.0100856916487275
BESC-10	-0.00777560053493228	-0.0547577609432102	0.025306606486615	0.0180280320642511	0.0130495939902788	-0.00957033258630425	0.0187952913004842	-0.0346381443049532	0.0349668095608532	-0.0184631953797389	-0.0371956712320542	-0.0345984592430779	-0.00619694795074952	-0.00689023240660376	0.0230243310642533	0.0157428131312608	0.0108486762049499	0.00779621957301436	-0.0234118006974705	0.00256159297627909	-0.0115758774290073	0.00299211193482209	0.00595990768049234	0.0215755526540034	0.0190699111588655	-0.0130085448453903	-0.000962911150856326	0.0164156175916907	-0.0271230706648063	0.0027328582090593	-0.0174418817190133	0.00875993884286879
BESC-100	-0.000274350075321093	-0.0542592921574028	0.0379291333087549	0.0292723950675642	0.0233580624665453	-0.00732978512888805	0.000619289087529154	9.84963487282463e-05	-0.0113704594432192	0.00996668984416793	-0.00117438354313736	-0.0055702330019181	0.000403306983283643	0.00107503093005541	0.000950032092674613	-0.00146366144544276	0.0042653858640609	-0.00210789397870854	0.0144535430150473	-0.00723498116191836	0.00203634483905656	0.00577157289825403	0.0103241688825266	0.00569074885686906	-0.0290020737778024	0.0199194593417926	0.022358249967781	-0.0094787899008586	-0.00824321094298381	0.027600244225578	0.0673764579006458	-0.0780643604564051
BESC-1001	-0.0323810300639989	-0.0442988682974078	-0.012921472968025	-0.106104906101868	0.00205922170538429	0.00174331127420008	-0.0597641168973628	-0.00885518306754717	-0.000850614259918988	0.00947093829317203	0.00463319808779226	0.0384609039553183	-0.00387699152400073	0.0196922644186243	0.0190209761153307	-0.0229353667749064	0.0687895664192164	0.0222482413083939	-0.0224916135153491	0.0157687481529996	0.0113703532090133	-0.0316407526347699	-0.0287332558761035	0.0231453670616531	0.0982334212707855	-0.0334884326737322	0.092069490738496	0.0365754390814346	-0.0813763347621284	0.0291558489336387	0.0156792388315146	0.0182512275238297
BESC-1002	-0.0303562352925451	-0.0423219875126939	-0.0139758784026159	-0.0932036578755599	0.00937477373621392	-0.00398408941865358	-0.0487023258754963	-0.0143911575972659	0.0148030759794455	0.00919335454288996	0.00022300527349098	0.0044191872232996	-0.00228588542565503	0.00690937752749318	0.0139592594687764	0.0027912013558162	0.0156793326113311	0.0155177198206235	-0.0146807770138665	0.0122674330776084	-0.00216765921678665	0.0112005850489248	0.0130938212561345	0.0133261855696043	-0.0216586318060789	-0.00267040781997364	-0.00858197529272774	0.00488503903960833	-0.0077309497505568	0.00110890812296977	-0.00171476913138411	-0.00519565750503157
BESC-1003	-0.0299981529902044	-0.0433699952045379	-0.0110625475863431	-0.0986784104201439	-0.000481037095356078	0.00495470389647693	-0.0514007218132675	-0.00972605628880925	0.00893067436378635	0.00267010025309294	-0.00508487823112052	0.00767803032065758	-0.00234381158674238	0.00556863395855495	0.015947556645271	0.00121871037690733	0.0194296039523421	0.00736384659876344	-0.021577862825823	0.0161562881009069	0.00377362798898314	0.0158576617203057	0.000670632651554792	0.0157398924639414	-0.0280536709574041	0.00709996522632653	-0.00961454842532201	-0.00180411553855494	-0.00634785445720909	-0.00803347989548841	0.00829965721304407	0.00458275914724843
BESC-1004	-0.0302696283826016	-0.0419359902706645	-0.0101162061761335	-0.0897954012533731	0.0182374612721086	-0.00278672872520783	-0.0559026777948147	-0.0124827329781187	-0.00202878827811883	0.0140916355930773	0.00248083344125839	-0.00102783654711078	-0.0100852380111625	0.00104498135781969	0.0132311705979067	0.00491147158308051	-0.00318596566753011	-0.00281231070210981	-0.0193446177586601	0.0141256075516369	-0.0271675629998402	0.0080056762061913	0.0035999373299573	0.00651541532364999	-0.0146289665092795	-0.00243069181317654	-0.031657354244051	0.00438834866649306	0.0167917703455997	-0.00948386505293778	-0.0269351995751913	-0.037858143846426
BESC-1005	-0.030763492439613	-0.0434548079364847	-0.014411273436174	-0.100025759316868	0.00975209278423284	-0.00329076337885606	-0.0530578027551085	-0.0157707692101416	0.00756475084437069	0.0116774213910756	-0.00786803867333932	0.00230996381871954	-0.00270781467146452	0.00799741493170137	0.0212972618055151	0.00486200977971391	0.0125242116515808	0.00602991549308759	-0.0264669673159669	0.0271369302633655	-0.00631847353659136	0.00773316711810329	-0.000328572934051604	0.0326842151304444	-0.0182331962241725	0.00941984946473241	-0.0123487541312329	-0.00385488961954338	-0.00314125957010789	-0.00868292891360229	0.00178594864271753	-0.00575186810245657
BESC-1006	-0.0323545104826825	-0.0430842461416064	-0.0126696930536248	-0.0937031480775717	0.0052401765223247	-0.00119887227792885	-0.0483850139273862	-0.0192603282904186	0.0176349969080792	-0.00291147218840064	-0.00602832372614393	-0.0115167764258423	-0.00808882528582317	-0.000114403435649231	0.0177056166735815	0.00171150256409069	0.00808637342722501	0.0127666953372639	-0.0162959961777572	-0.000318769343752332	-0.0070956063806033	0.0105369080322607	-0.00128119269163734	0.0039648429456297	-0.019797219143384	0.000851965953412106	-0.0382456503187463	0.00955959117197307	0.0176878277696205	-0.00448843523835799	-0.00310070477689903	-0.0421872831837037
