SRA_key	Sample_ID
SRR1302874	WELC-27-3
SRR1302874	WELC-27-3
SRR1302875	BESC-274
SRR1302875	BESC-274
SRR1302876	GW-9954
SRR1302876	GW-9954
SRR1567831	GW-9966
SRR1567831	GW-9966
SRR1567832	GW-9968
SRR1567832	GW-9968
SRR1569458	GW-10955
SRR1569458	GW-10955
SRR1569459	GW-10982
SRR1569459	GW-10982
SRR1569460	GW-10984
SRR1569460	GW-10984
SRR1569461	GW-10985
SRR1569461	GW-10985
SRR1569480	GW-10986
SRR1569480	GW-10986
SRR1569481	GW-10986
SRR1569481	GW-10986
SRR1569482	GW-10987
SRR1569482	GW-10987
SRR1569483	GW-10989
SRR1569483	GW-10989
SRR1569484	GW-10997
SRR1569484	GW-10997
SRR1569485	GW-10999
SRR1569485	GW-10999
SRR1569487	GW-11012
SRR1569487	GW-11012
SRR1569489	GW-11016
SRR1569489	GW-11016
SRR1569499	GW-11018
SRR1569499	GW-11018
SRR1569500	GW-11019
SRR1569500	GW-11019
SRR1569515	GW-11021
SRR1569515	GW-11021
SRR1569516	GW-11021
SRR1569516	GW-11021
SRR1569517	GW-11025
SRR1569517	GW-11025
SRR1569518	GW-11027
SRR1569518	GW-11027
SRR1569519	GW-11031
SRR1569519	GW-11031
SRR1569520	GW-11031
SRR1569520	GW-11031
SRR1569521	GW-11036
SRR1569521	GW-11036
SRR1569522	GW-11037
SRR1569522	GW-11037
SRR1569523	GW-11042
SRR1569523	GW-11042
SRR1569524	GW-11043
SRR1569524	GW-11043
SRR1569525	GW-11046
SRR1569525	GW-11046
SRR1569526	GW-11047
SRR1569526	GW-11047
SRR1569527	GW-11049
SRR1569527	GW-11049
SRR1569528	GW-11053
SRR1569528	GW-11053
SRR1569612	GW-11054
SRR1569612	GW-11054
SRR1569613	BLCG-28-1
SRR1569613	BLCG-28-1
SRR1569614	CHWH-27-1
SRR1569614	CHWH-27-1
SRR1569615	CHWH-27-2
SRR1569615	CHWH-27-2
SRR1569616	CMBF-28-1
SRR1569616	CMBF-28-1
SRR1569617	CNYH-28-2
SRR1569617	CNYH-28-2
SRR1569625	DENB-17-2
SRR1569625	DENB-17-2
SRR1569626	CNYH-28-5
SRR1569626	CNYH-28-5
SRR1569627	CNYH-28-5
SRR1569627	CNYH-28-5
SRR1569628	DENA-17-4
SRR1569628	DENA-17-4
SRR1569629	DEND-17-2
SRR1569629	DEND-17-2
SRR1569634	FNYI-28-3
SRR1569634	FNYI-28-3
SRR1569762	FNYI-28-4
SRR1569762	FNYI-28-4
SRR1569763	FNYI-28-4
SRR1569763	FNYI-28-4
SRR1569764	HOMA-21-2
SRR1569764	HOMA-21-2
SRR1569765	HOMA-21-4
SRR1569765	HOMA-21-4
SRR1569766	HOMA-21-4
SRR1569766	HOMA-21-4
SRR1569767	HOMB-21-2
SRR1569767	HOMB-21-2
SRR1569768	HOMC-21-2
SRR1569768	HOMC-21-2
SRR1569781	HOMC-21-3
SRR1569781	HOMC-21-3
SRR1569804	HOMD-21-3
SRR1569804	HOMD-21-3
SRR1569805	HOPF-27-3
SRR1569805	HOPF-27-3
SRR1569806	HOPF-27-3
SRR1569806	HOPF-27-3
SRR1569808	HOPG-27-1
SRR1569808	HOPG-27-1
SRR1569809	KLNC-20-2
SRR1569809	KLNC-20-2
SRR1569810	KTMC-12-2
SRR1569810	KTMC-12-2
SRR1569811	KTMC-12-2
SRR1569811	KTMC-12-2
SRR1569814	LILC-26-3
SRR1569814	LILC-26-3
SRR1569815	LILC-26-1
SRR1569815	LILC-26-1
SRR1569816	LILC-26-5
SRR1569816	LILC-26-5
SRR1569817	LILC-26-5
SRR1569817	LILC-26-5
SRR1569873	LILD-26-3
SRR1569873	LILD-26-3
SRR1569874	LILD-26-3
SRR1569874	LILD-26-3
SRR1569875	NHTB-27-1
SRR1569875	NHTB-27-1
SRR1569896	NHTB-27-4
SRR1569896	NHTB-27-4
SRR1569926	SKWA-24-2
SRR1569926	SKWA-24-2
SRR1569929	SKWA-24-4
SRR1569929	SKWA-24-4
SRR1569930	SKWA-24-4
SRR1569930	SKWA-24-4
SRR1569943	SLMC-28-3
SRR1569943	SLMC-28-3
SRR1569944	BESC-101
SRR1569944	BESC-101
SRR1569973	BESC-107
SRR1569973	BESC-107
SRR1570159	BESC-135
SRR1570159	BESC-135
SRR1570160	BESC-218
SRR1570160	BESC-218
SRR1570161	BESC-405
SRR1570161	BESC-405
SRR1570162	BESC-433
SRR1570162	BESC-433
SRR1570163	BESC-441
SRR1570163	BESC-441
SRR1570168	BESC-827
SRR1570168	BESC-827
SRR1570169	BESC-865
SRR1570169	BESC-865
SRR1570170	BESC-910
SRR1570170	BESC-910
SRR1570171	SQMA-25-1
SRR1570171	SQMA-25-1
SRR1570178	SQMA-25-4
SRR1570178	SQMA-25-4
SRR1570179	SQMB-25-3
SRR1570179	SQMB-25-3
SRR1570187	VNDL-27-5
SRR1570187	VNDL-27-5
SRR1570188	WELC-27-4
SRR1570188	WELC-27-4
SRR1570189	WHTE-28-3
SRR1570189	WHTE-28-3
SRR1570190	CA-05-02
SRR1570190	CA-05-02
SRR1570191	BESC-9
SRR1570191	BESC-9
SRR1570740	BESC-60
SRR1570740	BESC-60
SRR1570741	BESC-60
SRR1570741	BESC-60
SRR1570742	BESC-68
SRR1570742	BESC-68
SRR1570743	BESC-86
SRR1570743	BESC-86
SRR1570744	BESC-164
SRR1570744	BESC-164
SRR1570745	BESC-197
SRR1570745	BESC-197
SRR1570746	BESC-277
SRR1570746	BESC-277
SRR1570747	BESC-321
SRR1570747	BESC-321
SRR1570748	BESC-376
SRR1570748	BESC-376
SRR1570749	BESC-376
SRR1570749	BESC-376
SRR1570750	BESC-394
SRR1570750	BESC-394
SRR1570751	BESC-177
SRR1570751	BESC-177
SRR1570752	BESC-437
SRR1570752	BESC-437
SRR1570753	BESC-437
SRR1570753	BESC-437
SRR1570754	HARB-26-4
SRR1570754	HARB-26-4
SRR1570755	HARB-26-4
SRR1570755	HARB-26-4
SRR1570756	HARB-26-5
SRR1570756	HARB-26-5
SRR1570758	KLNE-20-5
SRR1570758	KLNE-20-5
SRR1570759	KLNE-20-5
SRR1570759	KLNE-20-5
SRR1570760	KLNG-20-3
SRR1570760	KLNG-20-3
SRR1570761	KLNG-20-4
SRR1570761	KLNG-20-4
SRR1570762	SLMB-28-4
SRR1570762	SLMB-28-4
SRR1570776	SLMC-28-2
SRR1570776	SLMC-28-2
SRR1570777	YALD-27-5
SRR1570777	YALD-27-5
SRR1570778	BESC-868
SRR1570778	BESC-868
SRR1570779	GW-7980
SRR1570779	GW-7980
SRR1570780	GW-9592
SRR1570780	GW-9592
SRR1570781	GW-10998
SRR1570781	GW-10998
SRR1570782	GW-9919
SRR1570782	GW-9919
SRR1570783	GW-9958
SRR1570783	GW-9958
SRR1570784	GW-9961
SRR1570784	GW-9961
SRR1570785	GW-10072
SRR1570785	GW-10072
SRR1570786	GW-10992
SRR1570786	GW-10992
SRR1570787	GW-11014
SRR1570787	GW-11014
SRR1570789	GW-11015
SRR1570789	GW-11015
SRR1570791	GW-11022
SRR1570791	GW-11022
SRR1570793	GW-11039
SRR1570793	GW-11039
SRR1570794	GW-11044
SRR1570794	GW-11044
SRR1570795	CA-01-04
SRR1570795	CA-01-04
SRR1570796	BESC-12
SRR1570796	BESC-12
SRR1570797	BESC-12
SRR1570797	BESC-12
SRR1570807	BESC-149
SRR1570807	BESC-149
SRR1570875	BESC-256
SRR1570875	BESC-256
SRR1570876	BESC-256
SRR1570876	BESC-256
SRR1570877	BESC-257
SRR1570877	BESC-257
SRR1570878	BESC-257
SRR1570878	BESC-257
SRR1570879	BESC-361
SRR1570879	BESC-361
SRR1570881	BESC-386
SRR1570881	BESC-386
SRR1570882	BESC-386
SRR1570882	BESC-386
SRR1570883	BESC-821
SRR1570883	BESC-821
SRR1570884	BESC-821
SRR1570884	BESC-821
SRR1570885	BESC-845
SRR1570885	BESC-845
SRR1570886	BESC-845
SRR1570886	BESC-845
SRR1570890	GW-9795
SRR1570890	GW-9795
SRR1570891	GW-11032
SRR1570891	GW-11032
SRR1570892	GW-11052
SRR1570892	GW-11052
