Geno	Binary_class	Full_class
KTMA-12-1	North	farNorth
KTMA-12-4	North	farNorth
KTMC-12-3	North	farNorth
DENB-17-4	North	farNorth
KLNA-20-3	North	farNorth
KLNA-20-4	North	farNorth
KLNA-20-5	North	farNorth
KLNB-20-2	North	farNorth
KLNC-20-2	North	farNorth
KLND-20-5	North	farNorth
KLNE-20-4	North	farNorth
KLNE-20-5	North	farNorth
KLNG-20-1	North	farNorth
KLNG-20-3	North	farNorth
KLNG-20-4	North	farNorth
KLNG-20-5	North	farNorth
KLNG-20-6	North	farNorth
KLNG-20-7	North	farNorth
HOMA-21-1	North	farNorth
HOMA-21-2	North	farNorth
HOMA-21-4	North	farNorth
HOMA-21-5	North	farNorth
HOMB-21-2	North	farNorth
HOMB-21-3	North	farNorth
HOMB-21-4	North	farNorth
HOMC-21-1	North	farNorth
HOMC-21-2	North	farNorth
HOMC-21-3	North	farNorth
HOMC-21-4	North	farNorth
HOMC-21-5	North	farNorth
HOMD-21-1	North	farNorth
HOMD-21-2	North	farNorth
HOMD-21-3	North	farNorth
SKWA-24-2	North	farNorth
SKWA-24-3	North	farNorth
SKWA-24-4	North	farNorth
SKWA-24-5	North	farNorth
SKWB-24-2	North	farNorth
SKWB-24-3	North	farNorth
SKWB-24-5	North	farNorth
SKWC-24-1	North	farNorth
SKWD-24-1	North	farNorth
SKWD-24-3	North	farNorth
SKWD-24-4	North	farNorth
SKWD-24-5	North	farNorth
SKWE-24-1	North	farNorth
SKWE-24-2	North	farNorth
SKWE-24-3	North	farNorth
SKWE-24-4	North	farNorth
SKWE-24-5	North	farNorth
SKWF-24-3	North	farNorth
SKWF-24-4	North	farNorth
SKWF-24-5	North	farNorth
GLCA-26-1	North	farNorth
HARA-26-1	North	farNorth
HARA-26-2	North	farNorth
HARB-26-1	North	farNorth
HARB-26-2	North	farNorth
HARB-26-3	North	farNorth
HARB-26-4	North	farNorth
HARB-26-5	North	farNorth
HARC-26-1	North	farNorth
HARC-26-2	North	farNorth
HARC-26-3	North	farNorth
HARC-26-4	North	farNorth
HARC-26-5	North	farNorth
LILA-26-1	North	farNorth
LILA-26-2	North	farNorth
LILA-26-3	North	farNorth
LILA-26-4	North	farNorth
LILA-26-5	North	farNorth
LILB-26-1	North	farNorth
LILB-26-3	North	farNorth
LILB-26-4	North	farNorth
LILB-26-5	North	farNorth
LILC-26-1	North	farNorth
LILC-26-3	North	farNorth
LILC-26-4	North	farNorth
LILC-26-5	North	farNorth
LILD-26-2	North	farNorth
LILD-26-3	North	farNorth
LILD-26-4	North	farNorth
LILD-26-5	North	farNorth
GLCB-26-1	North	farNorth
GLCB-26-2	North	farNorth
GLCB-26-3	North	farNorth
GLCB-26-4	North	farNorth
SQMA-25-1	North	farNorth
SQMA-25-2	North	farNorth
SQMA-25-4	North	farNorth
SQMB-25-1	North	farNorth
SQMB-25-3	North	farNorth
SQMB-25-4	North	farNorth
SQMC-25-1	North	farNorth
SQMC-25-3	North	farNorth
SQMC-25-4	North	farNorth
SQMC-25-5	North	farNorth
