Geno	Mean_Temp	Diurinal_Range	Isothermality	Temp_Seasonality	Max_Temp	Min_Temp	Temp_Range	Temp_Wettest_Quarter	Temp_Driest_Quarter	Temp_Warmest_Quarter	Temp_Coldest_Quarter	Precipitation	Precip._Wettest_Month	Precip._Driest_Month	Precip_Seasonality	Precip_Wettest_Quarter	Precip_Driest_Quarter	Precip_Warmest_Quarter	Precip_Coldest_Quarter	Full_class
93	10.388999938964801	9.47933292388916	40.655914306640604	511.636383056641	23.972000122070302	0.656000018119812	23.3159999847412	4.7313332557678205	16.7846660614014	16.7846660614014	4.4526667594909695	1207.0	165.0	40.0	43.256103515625	480.0	146.0	146.0	426.0	nearNorth
BESC-1	10.4744997024536	10.500999450683599	44.36042785644529	487.302917480469	24.431999206543	0.7599999904632572	23.6719989776611	5.1486668586731	16.397333145141598	16.6573333740234	4.725333213806151	1545.0	241.0	28.0	60.3273391723633	708.0	125.0	136.0	651.0	Columbia
BESC-10	10.4744997024536	10.500999450683599	44.36042785644529	487.302917480469	24.431999206543	0.7599999904632572	23.6719989776611	5.1486668586731	16.397333145141598	16.6573333740234	4.725333213806151	1545.0	241.0	28.0	60.3273391723633	708.0	125.0	136.0	651.0	Columbia
BESC-100	10.7731666564941	10.7243337631226	43.7656440734863	512.614929199219	25.260000228881804	0.755999982357025	24.503999710082997	5.09200000762939	17.0446662902832	17.1906661987305	4.69799995422363	1396.0	219.0	26.0	59.355411529540994	636.0	116.0	123.0	583.0	Columbia
BESC-1001	11.5263338088989	11.8140001296997	44.4001808166504	537.147766113281	27.8400001525879	1.23199999332428	26.6079998016357	5.61533355712891	18.151332855224602	18.3959999084473	5.27666664123535	1113.0	194.0	14.0	68.99179077148439	540.0	69.0	70.0	507.0	nearSouth
BESC-1002	11.5305004119873	11.840333938598599	44.286106109619105	538.82861328125	27.8920001983643	1.15600001811981	26.7360000610352	5.61266660690308	18.1900005340576	18.4193325042725	5.24266672134399	1083.0	186.0	14.0	67.82961273193361	522.0	69.0	69.0	485.0	nearSouth
BESC-1003	11.549166679382301	11.798999786377001	44.3504753112793	537.523132324219	27.8839988708496	1.27999997138977	26.6039981842041	5.66866683959961	18.1633338928223	18.479999542236303	5.3119997978210405	1128.0	199.0	15.0	68.95412445068361	548.0	70.0	72.0	512.0	nearSouth
BESC-1004	11.543999671936	11.828000068664599	44.2333564758301	538.7008056640619	27.9479999542236	1.2080000638961799	26.739999771118196	5.67400026321411	18.1586666107178	18.511333465576197	5.28466653823853	1132.0	201.0	15.0	69.0547561645508	551.0	71.0	74.0	515.0	nearSouth
BESC-1005	11.354000091552699	11.644666671752901	44.309993743896506	530.179382324219	27.3920001983643	1.1119999885559098	26.280000686645497	5.5406665802002	17.864665985107397	18.1633338928223	5.15733337402344	1264.0	226.0	15.0	70.2128219604492	619.0	75.0	79.0	579.0	nearSouth
BESC-1006	11.569000244140598	11.8993330001831	44.7208862304688	531.439636230469	27.8120002746582	1.2039999961853	26.6079998016357	5.77199983596802	18.0873336791992	18.4106674194336	5.380000114440921	1220.0	214.0	15.0	69.26654052734379	596.0	75.0	79.0	550.0	nearSouth
BESC-1007	11.3795003890991	11.6850004196167	44.234554290771506	532.1561279296881	27.5200004577637	1.10399997234344	26.4160003662109	5.6280002593994105	17.9060001373291	18.2660007476807	5.19799995422363	1384.0	245.0	16.0	70.7252731323242	681.0	80.0	86.0	631.0	nearSouth
BESC-1008	11.7598333358765	12.1316661834717	44.5296821594238	543.119812011719	28.4440002441406	1.20000004768372	27.2439994812012	5.854000091552731	18.4300003051758	18.7946662902832	5.4613332748413095	1255.0	218.0	15.0	69.606330871582	616.0	77.0	82.0	561.0	nearSouth
