,yhat,metadata
GW-9843,48.389650127501795,47.73333333
GW-9793,48.82932982723974,48.5
GW-9916,48.028507975894634,47.1
GW-9872,47.7164204214668,47.2
GW-9839,47.72887021673349,47.73333333
GW-2066,46.78527760573103,
GW-7976,47.05740837758521,46.11666667
GW-9583,48.308687763144576,47.16666667
GW-9810,48.5521225721612,48.51666667
GW-9762,47.79991276728588,48.81666667
GW-10986,48.4845533120349,48.4
GW-9883,47.015482796091874,47.2
GW-11034,46.793216193653834,44.5
GW-7987,46.6475076082636,46.08333333
GW-9821,48.90366571007547,
GW-6909,46.98769588670016,
GW-9959,48.029730393687764,45.95
GW-9912,47.82264924333865,47.1
GW-9876,46.95602581640298,47.2
GW-9587,49.114399171788676,47.86666667
GW-11052,44.358875412402625,46.1
GW-11019,48.17500164652865,48.4
GW-9847,48.03676048011329,47.73333333
GW-9797,47.909932724547865,48.5
GW-9968,46.565319671193485,45.95
GW-9887,46.85734577444474,47.08333333
GW-9757,48.78688507631094,48.81666667
GW-10982,48.324528597525344,48.4
GW-7983,46.46431838854433,46.11666667
GW-9970,46.12808299907297,45.95
GW-9814,48.94325524774641,48.51666667
GW-9766,48.455295415262185,48.81666667
GW-2283,47.88021689875825,
GW-11001,48.11067781877334,48.4
GW-9783,47.999392266245486,48.91666667
GW-9853,48.51804826313411,47.68333333
GW-10956,45.866729814767,44.5
GW-9818,48.21138991898423,
GW-11046,47.227294999206336,46.1
GW-9829,48.538247987928905,47.73333333
GW-9906,46.731533211257464,47.11666667
GW-9862,48.61693718081148,47.68333333
GW-9772,47.92349611563548,48.71666667
GW-11015,47.96581396136735,47.0
GW-9964,48.120839213102705,45.95
GW-9831,48.40381202545841,47.73333333
GW-9955,47.30591373824804,46.15
GW-9893,47.03418536172324,47.08333333
GW-11024,47.963705084765046,48.4
GW-11038,47.97042968393211,46.1
GW-9597,46.5836018321459,44.8
GW-9902,47.20854279049378,47.11666667
GW-9866,47.4466755560901,47.2
GW-9787,48.73500068345783,48.91666667
GW-9857,47.98928436477694,47.68333333
GW-10072,48.29348586173719,46.26666667
GW-7073,47.12277139544753,
GW-11042,45.91538332483737,46.1
GW-7993,46.29521079625017,46.0
GW-9835,48.13973016691387,47.73333333
GW-9951,47.94951388359933,46.05
GW-10992,48.44756373537625,48.4
GW-9776,48.35772166426112,48.71666667
GW-11011,48.12780107199971,47.0
GW-9960,45.455454734035584,
GW-9804,48.9682241307536,48.51666667
GW-10957,47.003885883033064,44.5
GW-9819,48.69542556532979,
GW-1863,48.25242452315396,
GW-9782,48.631728513271675,48.91666667
GW-9852,48.52570060685351,47.68333333
GW-11047,46.93675693278048,46.1
GW-9592,46.426856654532926,44.75
GW-4593,47.08883648661346,
