Geno,Prediction,Metadata
HARC-26-3,50.03495762961356,49.76666667
BESC-1102,40.74796958418541,40.77991
BESC-312,47.77435178612776,47.85562254
BESC-1041,42.70672974153222,42.25370666
BESC-821,47.09603202214693,47.08687839
BESC-450,49.42723969827237,48.52162242
BESC-195,48.118266658492146,47.0896259
BESC-841,47.11173583575409,47.04242949
BESC-387,48.509656200558666,48.49267066
BESC-428,48.39119463046386,48.51850821
CA-01-05,39.55649141707183,38.88178
BESC-150,46.986044658701786,47.06592456
BESC-267,47.80997381869238,47.84526369
BESC-1169,43.288643357777744,43.29777
BESC-1100,40.741257154539326,40.76961
SQMA-25-2,49.993402576241806,49.86666667
BESC-1184,43.94699634622224,44.01257012
NHTA-27-5,50.965561261159685,50.0
BESC-248,47.056301787437214,47.04944372
BESC-78,45.87024312754384,46.11929756
HRSO-27-2,48.67622321950302,49.28333333
BESC-870,47.484650227304975,47.85907111
BESC-813,47.036793419212856,47.08888938
BESC-210,47.12964572370453,47.09736608
BESC-443,48.83070977328841,48.52324507
SKWC-24-1,50.175131390040136,50.25
BESC-88,45.92941262958469,46.11696269
BESC-129,46.35511949250107,46.10821165
BESC-123,45.97366284223133,46.10699669
BESC-264,47.82403500799661,47.84242532
BESC-159,47.07055667694168,47.07067684
BESC-830,46.97729529563696,47.09125869
BESC-139,46.021739597085485,46.11147163
BESC-153,47.05643636174886,47.0674302
BESC-1117,39.97974222489857,40.16969
BESC-893,47.76303761061578,47.84325245
BESC-808,47.06948664952254,47.08230908
HOPF-27-3,49.973044040899374,49.43333333
CHWH-27-4,48.774548500029745,49.1
BESC-424,48.413565411741715,48.52446967
BESC-889,46.93291626081706,47.84236849
HRSP-27-4,49.52803201953906,49.23333333
BESC-2,46.33702671739764,46.17057201
BESC-310,47.971484176146475,47.84683001
KLND-20-3,52.684715846803364,51.56666667
BESC-45,46.15660984779015,46.10166647
BESC-1120,39.878885043605614,40.00719
BESC-1181,44.133293348696085,43.91676
BESC-18,45.98304589629971,46.16242806
BESC-819,46.87414897050705,47.08695643
BESC-342,48.603440182895646,48.49347222
HARA-26-2,49.53991631053179,50.11666667
BESC-910,48.91176472570496,47.85813016
BESC-27,45.86090556300729,46.10528813
BESC-407,48.67326771655138,48.52318497
BESC-1032,42.562494151230084,42.429633
BESC-448,48.88286280893101,48.52259036
BESC-68,46.06879793153649,46.10301898
DENB-17-2,52.89624734557669,52.83333333
SLMB-28-1,50.33511904927342,50.21666667
BESC-344,48.43690127796415,48.49409189
BESC-38,47.36757283665636,46.10348945
BESC-1180,44.013660768230785,43.80685308
BESC-863,47.80889692422507,47.86063383
BESC-382,48.570796565473486,48.49318069
BESC-324,47.808372896345766,47.85509465
CNYH-28-4,49.10226453585513,49.66666667
BESC-457,48.30965886439879,48.51887659
BESC-190,47.09440043459431,47.08786938
BESC-1087,40.51934325076061,40.63083
CA-05-03,39.6219407868956,39.31732
BESC-89,46.02396719836535,46.11673186
SLMD-28-3,50.17361003523335,50.28333333
BESC-866,47.7563325158198,47.86083056
CHWH-27-5,49.98944911293947,49.1
LILA-26-4,50.54942026795213,50.61666667
BESC-422,48.49345897493934,48.52345286
BESC-171,49.21849820878836,47.07724549
BESC-1010,44.936471302596715,44.11722
VNDL-27-5,49.439441902035846,49.15
BESC-238,46.991287603511864,47.05376392
BESC-246,47.24075404943485,47.04953684
BESC-306,47.78307211532767,47.84456396
