Geno,Latitude,Longitude,River
CHWH-27-1,49.1,-121.5166667,34
CHWH-27-2,49.1,-121.5166667,34
CHWH-27-3,49.1,-121.5166667,34
CHWH-27-4,49.1,-121.5166667,34
CHWH-27-5,49.1,-121.5166667,34
CHWI-27-4,49.1,-121.6333333,34
CHWJ-27-1,49.08333333,-121.7166667,34
CHWJ-27-2,49.08333333,-121.7166667,34
CHWK-27-2,49.08333333,-121.7333333,34
CHWK-27-3,49.08333333,-121.7333333,34
CHWK-27-4,49.08333333,-121.7333333,34
HOPF-27-1,49.43333333,-121.4333333,34
HOPF-27-3,49.43333333,-121.4333333,34
HOPF-27-5,49.43333333,-121.4333333,34
HOPG-27-1,49.4,-121.55,34
HOPG-27-3,49.4,-121.55,34
HOPG-27-5,49.4,-121.55,34
HRSO-27-1,49.28333333,-121.95,34
HRSO-27-2,49.28333333,-121.95,34
HRSO-27-3,49.28333333,-121.95,34
HRSO-27-4,49.28333333,-121.95,34
HRSO-27-5,49.28333333,-121.95,34
HRSP-27-1,49.23333333,-121.85,34
HRSP-27-4,49.23333333,-121.85,34
HRSP-27-5,49.23333333,-121.85,34
MCMN-27-2,49.18333333,-122.5833333,34
MCMN-27-3,49.18333333,-122.5833333,34
MCMN-27-4,49.18333333,-122.5833333,34
MCMN-27-5,49.18333333,-122.5833333,34
MTSM-27-1,49.11666667,-122.3333333,34
MTSM-27-3,49.11666667,-122.3333333,34
NHTA-27-2,50.0,-121.5666667,34
NHTA-27-3,50.0,-121.5666667,34
NHTA-27-4,50.0,-121.5666667,34
NHTA-27-5,50.0,-121.5666667,34
NHTB-27-1,49.96666667,-121.8166667,34
NHTB-27-3,49.96666667,-121.8166667,34
NHTB-27-4,49.96666667,-121.8166667,34
VNDL-27-1,49.15,-122.1,34
VNDL-27-3,49.15,-122.1,34
VNDL-27-4,49.15,-122.1,34
VNDL-27-5,49.15,-122.1,34
WELC-27-1,49.66666667,-121.4166667,34
WELC-27-2,49.66666667,-121.4166667,34
WELC-27-3,49.66666667,-121.4166667,34
WELC-27-4,49.66666667,-121.4166667,34
WELC-27-5,49.66666667,-121.4166667,34
YALD-27-2,49.56666667,-121.4666667,34
YALD-27-5,49.56666667,-121.4666667,34
YALE-27-1,49.56666667,-121.4,34
YALE-27-2,49.56666667,-121.4,34
YALE-27-3,49.56666667,-121.4,34
YALE-27-4,49.56666667,-121.4,34
BESC-1,46.17080435,-123.0516633,Columbia
BESC-10,46.16711305,-123.0465309,Columbia
BESC-100,46.11224184,-122.9851329,Columbia
BESC-101,46.11206523,-122.9864059,Columbia
BESC-102,46.11250444,-122.9870014,Columbia
BESC-103,46.11250989,-122.9878284,Columbia
BESC-104,46.11216238,-122.9878413,Columbia
BESC-105,46.11253001,-122.988728,Columbia
BESC-106,46.1129631,-122.9890432,Columbia
BESC-107,46.11337532,-122.9896184,Columbia
BESC-108,46.11373348,-122.9897512,Columbia
BESC-109,46.11418367,-122.9901561,Columbia
BESC-11,46.1662218,-123.0470295,Columbia
BESC-110,46.1148533,-122.9902365,Columbia
BESC-111,46.11506654,-122.9901306,Columbia
BESC-112,46.11532152,-122.9905997,Columbia
BESC-113,46.11589836,-122.9904982,Columbia
BESC-114,46.11603088,-122.9899613,Columbia
BESC-115,46.10981159,-122.9854544,Columbia
BESC-116,46.10928018,-122.9856922,Columbia
BESC-117,46.10891774,-122.9855224,Columbia
BESC-118,46.1086709,-122.9853659,Columbia
BESC-119,46.1082435,-122.9846934,Columbia
BESC-12,46.16550498,-123.0456435,Columbia
BESC-120,46.10776632,-122.9841146,Columbia
BESC-121,46.10753045,-122.9836102,Columbia
BESC-122,46.10719811,-122.9830777,Columbia
BESC-123,46.10699669,-122.9824988,Columbia
BESC-124,46.10671255,-122.9819639,Columbia
BESC-125,46.10729266,-122.9811362,Columbia
