,yhat,metadata
GW-9843,nearNorth,nearNorth
GW-9793,nearNorth,nearNorth
GW-9916,nearNorth,nearNorth
GW-9872,nearNorth,nearNorth
GW-9839,nearNorth,nearNorth
GW-2066,Columbia,
GW-7976,Columbia,Columbia
GW-9583,nearNorth,nearNorth
GW-9810,nearNorth,nearNorth
GW-9762,farNorth,farNorth
GW-10986,nearNorth,nearNorth
GW-9883,nearNorth,nearNorth
GW-11034,Columbia,nearSouth
GW-7987,Columbia,Columbia
GW-9821,farNorth,
GW-6909,Columbia,
GW-9959,Columbia,Columbia
GW-9912,nearNorth,nearNorth
GW-9876,nearNorth,nearNorth
GW-9587,farNorth,nearNorth
GW-11052,Columbia,Columbia
GW-11019,nearNorth,nearNorth
GW-9847,nearNorth,nearNorth
GW-9797,nearNorth,nearNorth
GW-9968,Columbia,Columbia
GW-9887,nearNorth,nearNorth
GW-9757,nearNorth,farNorth
GW-10982,nearNorth,nearNorth
GW-7983,Columbia,Columbia
GW-9970,Columbia,Columbia
GW-9814,nearNorth,nearNorth
GW-9766,nearNorth,farNorth
GW-2283,Columbia,
GW-11001,nearNorth,nearNorth
GW-9783,nearNorth,farNorth
GW-9853,nearNorth,nearNorth
GW-10956,farNorth,nearSouth
GW-9818,nearNorth,
GW-11046,Columbia,Columbia
GW-9829,nearNorth,nearNorth
GW-9906,nearNorth,nearNorth
GW-9862,nearNorth,nearNorth
GW-9772,nearNorth,farNorth
GW-11015,nearNorth,nearNorth
GW-9964,nearNorth,Columbia
GW-9831,nearNorth,nearNorth
GW-9955,Columbia,Columbia
GW-9893,nearNorth,nearNorth
GW-11024,nearNorth,nearNorth
GW-11038,Columbia,Columbia
GW-9597,Columbia,nearSouth
GW-9902,nearNorth,nearNorth
GW-9866,nearNorth,nearNorth
GW-9787,nearNorth,farNorth
GW-9857,nearNorth,nearNorth
GW-10072,farNorth,Columbia
GW-7073,Columbia,
GW-11042,Columbia,Columbia
GW-7993,Columbia,Columbia
GW-9835,nearNorth,nearNorth
GW-9951,nearNorth,Columbia
GW-10992,nearNorth,nearNorth
GW-9776,nearNorth,farNorth
GW-11011,nearNorth,nearNorth
GW-9960,nearNorth,Columbia
GW-9804,nearNorth,nearNorth
GW-10957,nearNorth,nearSouth
GW-9819,nearNorth,
GW-1863,nearNorth,
GW-9782,nearNorth,farNorth
GW-9852,nearNorth,nearNorth
GW-11047,Columbia,Columbia
GW-9592,Columbia,nearSouth
GW-4593,Columbia,
GW-9907,nearNorth,nearNorth
GW-9863,nearNorth,nearNorth
GW-9828,nearNorth,nearNorth
GW-11014,nearNorth,nearNorth
GW-9773,farNorth,farNorth
GW-9965,Columbia,Columbia
GW-9801,nearNorth,nearNorth
GW-9830,farNorth,nearNorth
GW-9954,Columbia,Columbia
GW-7996,Columbia,Columbia
GW-11025,nearNorth,nearNorth
GW-10997,nearNorth,nearNorth
GW-9892,nearNorth,nearNorth
GW-9596,Columbia,nearSouth
GW-2683,Columbia,
GW-11039,Columbia,Columbia
GW-9948,Columbia,Columbia
GW-9903,nearNorth,nearNorth
GW-9867,nearNorth,nearNorth
GW-9786,nearNorth,farNorth
GW-9856,nearNorth,nearNorth
GW-11043,Columbia,Columbia
GW-7992,Columbia,Columbia
GW-9834,nearNorth,nearNorth
GW-9950,nearNorth,Columbia
GW-2365,Columbia,
GW-11021,nearNorth,nearNorth
GW-9896,nearNorth,nearNorth
GW-10993,nearNorth,nearNorth
GW-9777,nearNorth,farNorth
GW-1950,Columbia,
GW-9961,nearNorth,Columbia
GW-9805,farNorth,nearNorth
GW-9842,nearNorth,nearNorth
GW-9792,nearNorth,nearNorth
GW-9809,nearNorth,nearNorth
GW-9838,nearNorth,nearNorth
GW-9917,nearNorth,nearNorth
GW-9873,nearNorth,nearNorth
GW-9582,nearNorth,nearNorth
GW-7977,Columbia,Columbia
GW-9811,nearNorth,nearNorth
GW-9763,nearNorth,farNorth
GW-11035,nearNorth,nearSouth
GW-9882,nearNorth,nearNorth
GW-10987,nearNorth,nearNorth
GW-7986,Columbia,Columbia
GW-9820,nearNorth,
GW-9877,nearNorth,nearNorth
GW-9958,Columbia,Columbia
GW-7973,Columbia,Columbia
GW-11018,farNorth,nearNorth
GW-11053,nearNorth,nearNorth
GW-9969,Columbia,Columbia
GW-9846,nearNorth,nearNorth
GW-9922,nearNorth,nearNorth
GW-9796,nearNorth,nearNorth
GW-11031,nearNorth,nearSouth
GW-10983,nearNorth,nearNorth
GW-9886,nearNorth,nearNorth
GW-9756,nearNorth,farNorth
GW-9577,nearNorth,nearNorth
GW-9824,nearNorth,
GW-7982,Columbia,Columbia
GW-9971,Columbia,Columbia
GW-9815,nearNorth,nearNorth
GW-9767,nearNorth,farNorth
GW-11045,Columbia,Columbia
GW-9769,nearNorth,farNorth
GW-10955,Columbia,nearSouth
GW-9780,nearNorth,farNorth
GW-9850,nearNorth,nearNorth
GW-9905,nearNorth,nearNorth
GW-9579,nearNorth,nearNorth
GW-9861,nearNorth,nearNorth
GW-9888,nearNorth,nearNorth
GW-9758,nearNorth,farNorth
GW-9967,Columbia,Columbia
GW-9803,farNorth,nearNorth
GW-9848,nearNorth,nearNorth
GW-9798,farNorth,nearNorth
GW-9771,nearNorth,farNorth
GW-11016,nearNorth,nearNorth
GW-10995,nearNorth,nearNorth
GW-9588,farNorth,nearNorth
GW-9890,nearNorth,nearNorth
GW-11027,nearNorth,nearNorth
GW-9879,nearNorth,nearNorth
GW-2593,Columbia,
GW-9832,nearNorth,nearNorth
GW-9956,Columbia,Columbia
GW-7994,Columbia,Columbia
GW-7988,Columbia,Columbia
GW-9901,nearNorth,nearNorth
GW-9865,nearNorth,nearNorth
GW-9594,nearSouth,nearSouth
GW-10989,nearNorth,nearNorth
GW-11041,Columbia,Columbia
GW-9784,nearNorth,farNorth
GW-9854,nearNorth,nearNorth
GW-9894,nearNorth,nearNorth
GW-7979,Columbia,Columbia
GW-7990,Columbia,Columbia
GW-9836,nearNorth,nearNorth
GW-9952,farNorth,Columbia
GW-9919,nearNorth,nearNorth
GW-9963,nearNorth,Columbia
GW-9807,nearNorth,nearNorth
GW-9775,nearNorth,farNorth
GW-4610,Columbia,Columbia
GW-11012,nearNorth,nearNorth
GW-9840,nearNorth,nearNorth
GW-9779,farNorth,farNorth
GW-2572,farNorth,
GW-9898,nearNorth,nearNorth
GW-9580,nearNorth,nearNorth
GW-7975,nearNorth,Columbia
GW-9915,nearNorth,nearNorth
GW-9871,nearNorth,nearNorth
GW-9761,nearNorth,farNorth
GW-9788,nearNorth,farNorth
GW-9858,nearNorth,nearNorth
GW-9813,nearNorth,nearNorth
GW-7984,Columbia,Columbia
GW-9822,nearNorth,
GW-9869,nearNorth,nearNorth
GW-9598,nearNorth,nearNorth
GW-9880,nearNorth,nearNorth
GW-10985,nearNorth,nearNorth
GW-11037,Columbia,Columbia
GW-10999,nearNorth,nearNorth
GW-9911,nearNorth,nearNorth
GW-9875,nearNorth,nearNorth
GW-9844,nearNorth,nearNorth
GW-9920,nearNorth,nearNorth
GW-9794,nearNorth,nearNorth
GW-11051,Columbia,Columbia
GW-9909,nearNorth,nearNorth
GW-9826,nearNorth,
GW-7980,Columbia,Columbia
GW-9884,nearNorth,nearNorth
GW-11033,farSouth,nearSouth
GW-9765,nearNorth,farNorth
GW-2048,Columbia,
GW-11049,Columbia,Columbia
GW-9817,nearNorth,
GW-1909,Columbia,
GW-9841,nearNorth,nearNorth
GW-9791,nearNorth,farNorth
GW-9778,nearNorth,farNorth
GW-11054,nearNorth,nearNorth
GW-7974,Columbia,Columbia
GW-9899,nearNorth,nearNorth
GW-9581,nearNorth,nearNorth
GW-9914,nearNorth,nearNorth
GW-9870,nearNorth,nearNorth
GW-9760,nearNorth,farNorth
GW-9812,nearNorth,nearNorth
GW-9789,nearNorth,farNorth
GW-9868,nearNorth,nearNorth
GW-7985,Columbia,Columbia
GW-9823,farNorth,
GW-9947,farNorth,Columbia
GW-11036,Columbia,nearSouth
GW-10984,nearNorth,nearNorth
GW-9585,nearNorth,nearNorth
GW-10998,nearNorth,nearNorth
GW-9910,nearNorth,nearNorth
GW-9874,nearNorth,nearNorth
GW-9845,nearNorth,nearNorth
GW-9921,nearNorth,nearNorth
GW-9795,nearNorth,nearNorth
GW-9827,farNorth,
GW-7981,Columbia,Columbia
GW-11032,farNorth,nearSouth
GW-9885,nearNorth,nearNorth
GW-11048,Columbia,Columbia
GW-2515,farNorth,
GW-9764,farNorth,farNorth
GW-9816,nearNorth,
GW-10958,nearNorth,nearSouth
GW-9768,farNorth,farNorth
GW-11044,Columbia,Columbia
GW-9781,farNorth,farNorth
GW-9851,nearNorth,nearNorth
GW-4579,nearNorth,nearNorth
GW-9904,nearNorth,nearNorth
GW-9578,nearNorth,nearNorth
GW-9860,nearNorth,nearNorth
GW-9889,nearNorth,nearNorth
GW-9591,farNorth,nearNorth
GW-9759,nearNorth,farNorth
GW-9849,nearNorth,nearNorth
GW-9799,farNorth,nearNorth
GW-9966,Columbia,Columbia
GW-9802,nearNorth,nearNorth
GW-9770,nearNorth,farNorth
GW-11026,farNorth,nearNorth
GW-9589,farNorth,nearNorth
GW-9891,nearNorth,nearNorth
GW-9833,nearNorth,nearNorth
GW-9957,Columbia,Columbia
GW-9878,nearNorth,nearNorth
GW-9900,nearNorth,nearNorth
GW-7989,Columbia,Columbia
GW-10988,farNorth,nearNorth
GW-9595,Columbia,nearSouth
GW-9785,nearNorth,farNorth
GW-9855,nearNorth,nearNorth
GW-11022,farNorth,nearNorth
GW-7978,Columbia,Columbia
GW-9895,nearNorth,nearNorth
GW-9918,nearNorth,nearNorth
GW-7991,Columbia,Columbia
GW-9837,nearNorth,nearNorth
GW-9953,Columbia,Columbia
GW-9962,nearNorth,Columbia
GW-9806,nearNorth,nearNorth
GW-9774,nearNorth,farNorth
