,ENet,RF,Lasso,XGB
Mean_Temp,-0.0017903838280104,0.7721617106545927,-0.0017903838280104,0.7576137985612739
Diurinal_Range,-0.003904410374796452,0.9281208831249739,-0.003904410374796452,0.9265528482162824
Isothermality,-0.0026930792351504973,0.9030784658038883,-0.0026930792351504973,0.8845306293990843
Temp_Seasonality,-0.006575687857797519,0.8275156722583701,-0.007042938161825063,0.8295709491520192
Max_Temp,-0.00498943525537614,0.8572471078068661,-0.00498943525537614,0.8498637925050483
Min_Temp,-0.003353767971005306,0.8061951380277528,-0.003353767971005306,0.7970418491204946
Temp_Range,-0.0069753692049452365,0.8816269142321232,-0.0069753692049452365,0.8796295211826773
Temp_Wettest_Quarter,-0.0032239450453242836,0.7625045775877963,-0.0032239450453242836,0.7584985447793321
Temp_Driest_Quarter,-0.0038896431365615046,0.7252309555935409,-0.0038896431365615046,0.7253447670601002
Temp_Warmest_Quarter,-0.0042368903117722565,0.7203117187264889,-0.0042368903117722565,0.7076339425273461
Temp_Coldest_Quarter,-0.002706150427977194,0.8061092275958222,-0.002706150427977194,0.8114008974878699
Precipitation,-0.0014332473023322522,0.6520583234320305,0.2841201970272592,0.6305232913367342
Precip._Wettest_Month,-0.0005420412966195886,0.598458359719517,-0.0005420412966195886,0.5737760634080437
Precip._Driest_Month,-0.00549737689904477,0.8836662043760605,-0.00549737689904477,0.8845832680925161
Precip_Seasonality,-0.008515629128135905,0.9111545838748139,-0.008515629128135905,0.9013078392279106
Precip_Wettest_Quarter,-0.0004929034495514628,0.6031478950369763,0.024650474145166544,0.5711636624982898
Precip_Driest_Quarter,-0.006026897385760122,0.8763457429480465,0.06388075745277184,0.867961216320506
Precip_Warmest_Quarter,-0.006125048077404704,0.8664439942771661,0.05128675738636139,0.8590293482002324
Precip_Coldest_Quarter,-0.00039202558203721427,0.6011354958641799,0.02570244965436439,0.5703335005155499
Latitude,-0.0054217422111895175,0.9658236813865966,-0.0054217422111895175,0.9624927765849787
Longitude,-0.0007965735728726831,0.8528419106801399,-0.0007965735728726831,0.84917639015875
