,k,score
Mean_Temp,19,-0.9524229895474511
Diurinal_Range,7,0.14050651069356296
Isothermality,9,-0.5690254351500552
Temp_Seasonality,19,-0.7789009387679762
Max_Temp,16,-0.5158819392273136
Min_Temp,19,-0.8871911360543135
Temp_Range,7,0.1279026478247362
Temp_Wettest_Quarter,19,-0.9581117577001386
Temp_Driest_Quarter,19,-0.7732493132451608
Temp_Warmest_Quarter,19,-0.744327435925604
Temp_Coldest_Quarter,19,-1.1772411562914364
Precipitation,10,-0.12928350782985545
Precip._Wettest_Month,19,-0.16514763465441526
Precip._Driest_Month,7,-0.4690051713045408
Precip_Seasonality,10,0.058410902381019446
Precip_Wettest_Quarter,18,-0.07019545495410846
Precip_Driest_Quarter,9,-0.20895426556443458
Precip_Warmest_Quarter,7,-0.19037576628386702
Precip_Coldest_Quarter,19,-0.02377779006692047
Latitude,10,0.08601911114738578
Longitude,19,-0.04719900568536435
