,ENet,RF,Lasso,XGB
Mean_Temp,-1.794577509905492,-1.392892024956325,-1.8464356218259035,-1.266320523443658
Diurinal_Range,-0.6575132458251792,-0.15378223892058068,-0.7574247655310637,-0.14881653082875976
Isothermality,-0.9940593378054213,-1.3636483842831826,-1.4137973962115762,-1.119553332403187
Temp_Seasonality,-3.1079993272653277,-3.928374467755547,-4.746227605595054,-3.9548050603606364
Max_Temp,-0.920502302325054,-0.5527525973646181,-1.0890254879972328,-0.5322767910253129
Min_Temp,-3.1878402647882895,-2.9718117077820607,-4.381468329171954,-2.5316019435247825
Temp_Range,-0.40153339346557565,-0.32078698127341093,-0.5979486455372813,-0.31930464367794265
Temp_Wettest_Quarter,-2.554518617929483,-2.3121345552841297,-3.245593315328464,-2.1766653749798897
Temp_Driest_Quarter,-1.0991223552254166,-0.8839954373574319,-0.9196693856316382,-0.8773173865878299
Temp_Warmest_Quarter,-1.0311637683009307,-0.8846508799458386,-0.8983969795325699,-0.9408622776803262
Temp_Coldest_Quarter,-3.0082876064571105,-2.7273349642719076,-4.027749492318455,-2.6892830649107973
Precipitation,-0.16137050778336268,-0.31458813007383923,-0.2757643717653204,-0.43494938375185954
Precip._Wettest_Month,-0.25161671573966393,-0.3649788301583109,-0.2723587839335154,-0.47937992740839463
Precip._Driest_Month,-0.3037218645476458,-1.2413324571041708,-0.3640299762016502,-1.0914918972686156
Precip_Seasonality,0.2694110282547498,-0.25429966482172267,0.19188293193356293,-0.2506407433553168
Precip_Wettest_Quarter,-0.12991092499102516,-0.25623547384066653,-0.25922130584404685,-0.3641166517814542
Precip_Driest_Quarter,0.03191693400226934,-0.7433722728361912,0.20220429686115682,-0.7781381224315027
Precip_Warmest_Quarter,0.008637197481032154,-0.7380015627481745,0.16587974687752438,-0.6752686988203365
Precip_Coldest_Quarter,-0.09725704309857501,-0.13933785500374843,-0.16551195404212496,-0.28975384053517245
Latitude,-0.7250978691301706,-0.5419233021329933,-1.1890142908747579,-0.3715609923300143
Longitude,-1.0026810618888236,-0.47601275337441373,-1.050980915950912,-0.5439666627319423
