,ENet,RF,Lasso,XGB
Mean_Temp,-1.7956856717348626,-1.3871543023241188,-1.8464356220225604,-1.425210288348165
Diurinal_Range,-0.6575132383681144,-0.11611700341053474,-0.7574247193928418,-0.11093160971094806
Isothermality,-0.9894289228862174,-1.374692178027325,-1.4138361522673013,-1.01698340586884
Temp_Seasonality,-2.859364256856794,-3.676229186020715,-4.4373051796010365,-3.600977600579769
Max_Temp,-0.9204568912946953,-0.4978381420725472,-1.0890255234355686,-0.5273405826032933
Min_Temp,-3.187554543833301,-2.8799157687084973,-4.3811713114878215,-2.680344695796585
Temp_Range,-0.4107276816945598,-0.30718631580454214,-0.5979472530340825,-0.25917657293850904
Temp_Wettest_Quarter,-2.5531827653649497,-2.29467434346664,-3.24559208047512,-2.3691442406764462
Temp_Driest_Quarter,-1.0992885275148452,-0.8220465542443053,-0.9196693856313092,-0.8630452670566628
Temp_Warmest_Quarter,-1.0310967886632807,-0.9183480540789027,-0.8983969795233042,-0.9400084395462155
Temp_Coldest_Quarter,-3.0095772578749274,-2.710447047791084,-4.029631716720111,-2.54269991377618
Precipitation,-0.12787123488046473,-0.3737946556149492,-0.2193460529279095,-0.413299163155734
Precip._Wettest_Month,-0.2553553257490405,-0.39870999911836874,-0.31883994668640747,-0.5370827044539365
Precip._Driest_Month,-0.30191123726085795,-1.1437996732881401,-0.36665529870539953,-1.2425563114798135
Precip_Seasonality,0.2642612533536212,-0.25313568326763713,0.1918794652398712,-0.2059336559026907
Precip_Wettest_Quarter,-0.1256603613522353,-0.2502224083184979,-0.2515064090237456,-0.3419770927167335
Precip_Driest_Quarter,0.0221551296448671,-0.744944552361179,0.1848497942542263,-0.762788286164289
Precip_Warmest_Quarter,0.02184022588912371,-0.7769760984180483,0.1715143168318153,-0.7535618333792117
Precip_Coldest_Quarter,-0.12115191580638625,-0.07014940487525138,-0.2754024841969584,-0.1656759426712327
Latitude,-0.7254774135446047,-0.5726093898145906,-1.1890141528336649,-0.3788662965483304
Longitude,-1.0029039849250307,-0.5514435488844547,-1.050980915950912,-0.4420838072217281
