,ENet,RF,Lasso,XGB
Mean_Temp,-1.2083489006082355,-1.6235506999010112,-0.9314892669851984,-1.2810658988846004
Diurinal_Range,0.4865251994445887,0.6056427194298959,0.3509403958409406,0.6065830839713258
Isothermality,-0.3293241730991544,-0.7361293492230072,-0.41857658587512797,-0.5403208266735973
Temp_Seasonality,-0.8168702804812366,-1.130163316217624,-0.9930104695899091,-1.2659392236245122
Max_Temp,0.19765172810660797,0.30244173744652203,0.12488979537309979,0.3007808983334258
Min_Temp,-1.3803871217176464,-2.1480836365480194,-1.405279349469924,-1.599510560138531
Temp_Range,0.24195626740727377,0.08811918105501541,0.21375439800860993,0.13484917277496064
Temp_Wettest_Quarter,-1.6004912260524384,-2.7353225689307825,-1.4068438196663506,-2.261605529825267
Temp_Driest_Quarter,-0.23012403759559064,-0.17823915258735143,-0.23085067767315856,-0.21624770719935776
Temp_Warmest_Quarter,-0.1773764435808996,-0.16568940552855488,-0.1997733453992972,-0.11972664202756751
Temp_Coldest_Quarter,-1.9231488507670793,-3.3436175129871857,-1.853536371796966,-2.7764525739250057
Precipitation,-0.15615128575871423,-0.251057263725332,-0.3377187738121159,-0.1811287059476004
Precip._Wettest_Month,-0.4237015043407027,-0.5422198854158061,-0.47613786608174974,-0.4950293457911741
Precip._Driest_Month,0.3525894428966959,0.2154271984061919,0.2833673948380118,0.23870145619893196
Precip_Seasonality,0.5006183437740918,0.42519196522518693,0.47123769198256776,0.43721640325574784
Precip_Wettest_Quarter,-0.4097066498830658,-0.5349158220989366,-0.5525710791669486,-0.48729025856883934
Precip_Driest_Quarter,0.5024629792595326,0.4043838671738505,0.4829412685285022,0.42138002782319994
Precip_Warmest_Quarter,0.4497781809876007,0.3478629673914628,0.4431580781396994,0.3841175706567038
Precip_Coldest_Quarter,-0.470513643784021,-0.5441519194856669,-0.6197005439285603,-0.5885484172060913
